Latein,Deutsch,Englisch
Crossopteridis febrifugae cortex,"Afrikanische Fieberrinde, Rinde","African, Bark"
Pygei africani cortex,"Afrikanisches Stinkholz, Rinde","Red Stinkwood, Bark"
Pygei africani cortex T. E. betasitosterol,"Afrikanisches Stinkholz, Rinde","Red Stinkwood, Bark"
Agar Agar in filis,"Agar Agar, Fäden",Agar Agar
Hyoscyami mutici folium,Ãgyptisches Bilsenkraut,"Henbane, Leaf"
Aquilegiae herba,"Akelei, Kraut","Columbine, Herb"
Helenii radix,"Alant, Wurzel","Elecampane, Root"
Albezziae lebbek cortex,"Albizzia, Rinde","Lebbek Tree, Bark"
Sennae alex folium derestinata,"Alexandriner Sennes Entharzt, Blatt","Senna Alex. Without Resin, Leaf"
Sennae alex folium,"Alexandriner Sennes, Blatt","Senna Alex. , Leaf"
Sennae alex fructus,"Alexandriner Sennes, Schote","Senna Alex. , Pod"
Malvae mauritianae flos,"Algiermalve, Blüte",Malva Flower
Aloe Gel,Aloe Gel,Aloe Gel
Aloe curacao,"Aloe, Curacao","Aloes, Curacao"
"Aloe capensis, Mosselbay","Aloe, Mosselbay","Aloes, Mosselbay"
Aloe sonstiges,"Aloe, Ostafrika","Aloes, Div."
"Aloe capensis, Port Elizabeth","Aloe, Port Elisabeth","Aloes, Cape"
Frangulae fallacis cortex,"Alpenkreuzdorn, Rinde","Buckthorn Fallax, Bark"
Epimedii folium,"Alpensockenblume, Blatt","Barrenwort Alpine, Leaf"
Mandragorae herba,"Alraune, Kraut","European Mandrake, Herb"
Mandragorae radix,"Alraune, Wurzel","European Mandrake, Root"
Alpi globulariae folium,"Alypum, Blatt",Die Details des Eintrags ansehen
Globe amaranth flores,Amaranthblueten,"Globe Amaranth, Flowers"
Cecropiae adenopi folium,"Ambay, Blatt","Ambay Tree, Leaf"
Phyllanthi emblicae fructus,"Amblabaum, Frucht","Indian Gooseberry, Fruit"
